,InSituSM
2020-03-26,0.3241400535312697
2020-04-05,0.25045402777777775
2020-04-15,0.18115111111111112
2020-04-25,0.15205066760037347
2020-05-05,0.16431808343484633
2020-05-15,0.15994070766381865
2020-05-25,0.20773490849308907
2020-06-04,0.10944879871639285
2020-06-14,0.15388514595103578
2020-06-24,0.14027997340425533
2020-07-04,0.16112966794266892
2020-07-14,0.24046783179355172
2020-07-24,0.24773173782644373
2020-08-03,0.28881876627150166
2020-08-13,0.20213805555555556
2020-08-23,0.11366517032975842
2020-09-02,0.13946749684140267
2020-09-12,0.20783149872152487
2020-09-22,0.11598909742000008
2020-10-02,0.09862831812186189
2020-10-12,0.09024488929373797
2020-10-22,0.1586944417778757
2020-11-01,0.30421319444444445
2020-11-11,0.24311375886524822
2020-11-21,0.29358466463414634
2020-12-01,0.3194680755526469
2020-12-11,0.32826951379720953
2020-12-21,0.32774867120870554
2020-12-31,0.35746818958433546
2021-01-10,0.3074851450204242
2021-01-20,0.2971063678176265
2021-01-30,0.3228923040833495
2021-02-09,
2021-02-19,0.3315876009612478
2021-03-01,0.3141507844105264
2021-03-11,0.33321735760493804
2021-03-21,0.3177050559805934
2021-03-31,0.2017027777777778
2021-04-10,0.20140641933106895
2021-04-20,0.27476425144984934
2021-04-30,0.2452062162947466
2021-05-10,0.19800338859766053
2021-05-20,0.31033136911771747
2021-05-30,0.32439328674218687
2021-06-09,0.2162516050674105
2021-06-19,0.17174888005685696
2021-06-29,0.30846820557664684
2021-07-09,0.16050805234227583
2021-07-19,0.13197544771422431
2021-07-29,0.20543065942691818
2021-08-08,0.18394119363086936
2021-08-18,0.13872614272713304
2021-08-28,0.11474598204174564
2021-09-07,0.10274908385777969
2021-09-17,0.09637441077140076
2021-09-27,0.1488410826582036
2021-10-07,0.24548217010653636
2021-10-17,0.24582986634123663
2021-10-27,0.2580270016339869
2021-11-06,0.28630625
2021-11-16,0.24507805555555554
2021-11-26,0.2033506287683032
2021-12-06,0.17986082838751585
2021-12-16,0.16416233546876405
2021-12-26,0.15963839683879302
2019-01-01,0.302785
2019-01-11,0.3263403922068154
2019-01-21,0.27618255208333337
2019-01-31,0.25185949668832297
2019-02-10,0.26905022758740466
2019-02-20,0.30458130393096833
2019-03-02,0.27162580995678093
2019-03-12,0.29976222222222226
2019-03-22,0.27394445120933614
2019-04-01,0.25696819444444446
2019-04-11,0.17564622675499766
2019-04-21,0.2187665277777778
2019-05-01,0.3547236476004551
2019-05-11,0.2995361262531439
2019-05-21,0.35872889914700945
2019-05-31,0.28953334157206834
2019-06-10,0.3100272984109256
2019-06-20,0.21206291666666668
2019-06-30,0.2168665430188812
2019-07-10,0.13429220838522207
2019-07-20,0.09768091899312026
2019-07-30,0.16941589092083462
2019-08-09,0.19484870583449557
2019-08-19,0.21769377263069697
2019-08-29,0.23661805555555557
2019-09-08,0.1994163888888889
2019-09-18,0.2190976388888889
2019-09-28,0.259585520106927
2019-10-08,0.21241236111111114
2019-10-18,0.18091871835443038
2019-10-28,0.2710991948243733
2019-11-07,0.26182427437641725
2019-11-17,0.2347179952798831
2019-11-27,0.2608618619946626
2019-12-07,0.23213097222222223
2019-12-17,0.20257959135186507
2019-12-27,0.26856799976755
2020-01-06,0.24946068143702896
2020-01-16,0.29769589041095895
2020-01-26,0.3021076556410636
2020-02-05,0.2771492784004428
2020-02-15,0.2917156123211616
2020-02-25,0.2917081967689447
2020-03-06,0.2842192054788017
2020-03-16,0.3638396111045264
2020-03-26,0.29073350701607087
2020-04-05,0.19006541666666668
2020-04-15,0.17988935545905949
2020-04-25,0.2120572222222222
2020-05-05,0.15458284224888738
2020-05-15,0.20919694444444445
2020-05-25,0.2583579974623078
2020-06-04,0.13098147140864713
2020-06-14,0.1772226388888889
2020-06-24,0.17028192145337914
2020-07-04,0.16133890756302519
2020-07-14,0.2782521617852162
2020-07-24,0.29480898890716506
2020-08-03,0.27866178287214466
2020-08-13,0.18598847222222223
2020-08-23,0.11579507865725257
2020-09-02,0.15145196078431375
2020-09-12,0.22961652777777775
2020-09-22,0.12951147947083783
2020-10-02,0.10047691595441595
2020-10-12,0.08836785621785621
2020-10-22,0.1705872150997151
2020-11-01,0.26378396734077175
2020-11-11,0.2249875017769755
2020-11-21,0.29767975257624785
2020-12-01,0.3096471012565232
2020-12-11,0.30661707493207496
2020-12-21,0.3017524545977914
2020-12-31,0.349721158875586
2021-01-10,0.2990360603581493
2021-01-20,0.29616646818659553
2021-01-30,0.3357559785964754
2021-02-09,
2021-02-19,0.31502916270504683
2021-03-01,0.30635046692401796
2021-03-11,0.3501570413154673
2021-03-21,0.33367833904109584
2021-03-31,0.20269291666666667
2021-04-10,0.1651266671675683
2021-04-20,0.25624545779685265
2021-04-30,0.23676528127917837
2021-05-10,0.21083728114491893
2021-05-20,0.3348048502609913
2021-05-30,0.3256168055555555
2021-06-09,0.22147208333333335
2021-06-19,0.19234133994369781
2021-06-29,0.32805531180212116
2021-07-09,0.1743477677716833
2021-07-19,0.13082510494522526
2021-07-29,0.21429391506977682
2021-08-08,0.148168500116225
2021-08-18,0.11954855418529742
2021-08-28,0.10478522030824648
2021-09-07,0.0934677490421456
2021-09-17,0.08201557473576838
2021-09-27,0.12763782802105864
2021-10-07,0.22277548976608186
2021-10-17,0.22786458333333334
2021-10-27,0.24023857070898347
2021-11-06,0.24065944444444445
2021-11-16,0.17775305555555554
2021-11-26,0.13500247346255914
2021-12-06,0.11303052236150268
2021-12-16,0.10315469686503104
2021-12-26,0.09889937080649847
2019-01-01,0.29553171296296293
2019-01-11,0.3238659395496902
2019-01-21,0.30863729014129027
2019-01-31,0.2934182015607389
2019-02-10,0.28607261671314826
2019-02-20,0.3182238938053097
2019-03-02,0.28997398088036125
2019-03-12,0.3443825392918674
2019-03-22,0.32182059797768486
2019-04-01,0.27435820728291316
2019-04-11,0.22794392879111777
2019-04-21,0.2969959110169491
2019-05-01,0.41691494395616746
2019-05-11,0.34845642262089044
2019-05-21,0.42970312984277553
2019-05-31,0.3954956768554174
2019-06-10,0.4003773758865248
2019-06-20,0.38906643513285694
2019-06-30,0.25506792189679217
2019-07-10,0.1647922017509933
2019-07-20,0.13498360551634223
2019-07-30,0.12689319994948364
2019-08-09,0.272521640070922
2019-08-19,0.2629270203204184
2019-08-29,0.3163978114830311
2019-09-08,0.1846750478984942
